cod_ocorrencia;ano;mes_ano;munic;mcirc;regiao;roubo_comercio
274;2003;2003m03;Rio de Janeiro;3304557;Capital;0
275;2003;2003m03;Rio de Janeiro;3304557;Capital;14
276;2003;2003m03;Rio de Janeiro;3304557;Capital;7
277;2003;2003m03;Rio de Janeiro;3304557;Capital;16
278;2003;2003m03;Rio de Janeiro;3304557;Capital;6
279;2003;2003m03;Rio de Janeiro;3304557;Capital;1
280;2003;2003m03;Rio de Janeiro;3304557;Capital;13
281;2003;2003m03;Rio de Janeiro;3304557;Capital;6
282;2003;2003m03;Rio de Janeiro;3304557;Capital;10
283;2003;2003m03;Rio de Janeiro;3304557;Capital;14
284;2003;2003m03;Rio de Janeiro;3304557;Capital;12
285;2003;2003m03;Rio de Janeiro;3304557;Capital;6
286;2003;2003m03;Rio de Janeiro;3304557;Capital;14
287;2003;2003m03;Rio de Janeiro;3304557;Capital;11
288;2003;2003m03;Rio de Janeiro;3304557;Capital;7
289;2003;2003m03;Rio de Janeiro;3304557;Capital;12
290;2003;2003m03;Rio de Janeiro;3304557;Capital;8
291;2003;2003m03;Seropédica;3305554;Baixada Fluminense;1
292;2003;2003m03;Itaguaí;3302007;Baixada Fluminense;2
293;2003;2003m03;Paracambi;3303609;Baixada Fluminense;0
294;2003;2003m03;Nova Iguaçu;3303500;Baixada Fluminense;5
295;2003;2003m03;Mesquita;3302858;Baixada Fluminense;2
296;2003;2003m03;Belford Roxo;3300456;Baixada Fluminense;5
297;2003;2003m03;"Queimados;Japeri";9999981;Baixada Fluminense;1
298;2003;2003m03;Nova Iguaçu;3303500;Baixada Fluminense;6
299;2003;2003m03;Nilópolis;3303203;Baixada Fluminense;9
300;2003;2003m03;Nova Iguaçu;3303500;Baixada Fluminense;10
301;2003;2003m03;Duque de Caxias;3301702;Baixada Fluminense;19
302;2003;2003m03;Duque de Caxias;3301702;Baixada Fluminense;8
303;2003;2003m03;Duque de Caxias;3301702;Baixada Fluminense;3
304;2003;2003m03;Duque de Caxias;3301702;Baixada Fluminense;7
305;2003;2003m03;São João de Meriti;3305109;Baixada Fluminense;14
306;2003;2003m03;"Magé;Guapimirim";9999982;Baixada Fluminense;2
307;2003;2003m03;Magé;3302502;Baixada Fluminense;0
308;2003;2003m03;"Itaboraí;Tanguá";9999983;Interior;5
309;2003;2003m03;São Gonçalo;3304904;Grande Niterói;14
310;2003;2003m03;São Gonçalo;3304904;Grande Niterói;3
311;2003;2003m03;São Gonçalo;3304904;Grande Niterói;6
312;2003;2003m03;São Gonçalo;3304904;Grande Niterói;2
313;2003;2003m03;Niterói;3303302;Grande Niterói;27
314;2003;2003m03;Niterói;3303302;Grande Niterói;14
315;2003;2003m03;Niterói;3303302;Grande Niterói;11
316;2003;2003m03;Niterói;3303302;Grande Niterói;2
317;2003;2003m03;Niterói;3303302;Grande Niterói;4
318;2003;2003m03;Maricá;3302700;Grande Niterói;5
319;2003;2003m03;Barra do Pirai;3300308;Interior;1
320;2003;2003m03;Resende;3304201;Interior;11
321;2003;2003m03;Barra Mansa;3300407;Interior;12
322;2003;2003m03;Valença;3306107;Interior;0
323;2003;2003m03;Rio das Flores;3304508;Interior;0
324;2003;2003m03;Volta Redonda;3306305;Interior;18
325;2003;2003m03;"Piraí;Pinheiral";9999988;Interior;0
326;2003;2003m03;Vassouras;3306206;Interior;0
327;2003;2003m03;"Miguel Pereira;Paty dos Alferes";9999999;Interior;1
328;2003;2003m03;Mendes;3302809;Interior;0
329;2003;2003m03;Engenheiro Paulo de Frontin;3301801;Interior;0
330;2003;2003m03;Itatiaia;3302254;Interior;0
331;2003;2003m03;"Porto Real;Quatis";9999992;Interior;1
332;2003;2003m03;São José do Vale do Rio Preto;3305158;Interior;0
333;2003;2003m03;Petrópolis;3303906;Interior;4
334;2003;2003m03;Petrópolis;3303906;Interior;2
335;2003;2003m03;Paraíba do Sul;3303708;Interior;0
336;2003;2003m03;"Comendador Levy Gasparian;Areal;Três Rios";9999991;Interior;3
