cod_ocorrencia;ano;mes_ano;munic;mcirc;regiao;roubo_rua
218;2003;2003m02;Casimiro de Abreu;3301306;Interior;0
219;2003;2003m02;Conceição de Macabú;3301405;Interior;0
220;2003;2003m02;"Macaé;Quissamã;Carapebus";9999984;Interior;19
221;2003;2003m02;Saquarema;3305505;Interior;2
222;2003;2003m02;São Pedro da Aldeia;3305208;Interior;4
223;2003;2003m02;"Cabo Frio;Arraial do Cabo";9999985;Interior;16
224;2003;2003m02;Armação dos Búzios;3300233;Interior;5
225;2003;2003m02;Rio das Ostras;3304524;Interior;1
226;2003;2003m02;Iguaba Grande;3301876;Interior;0
227;2003;2003m02;Campos dos Goytacazes;3301009;Interior;34
228;2003;2003m02;Itaocara;3302106;Interior;0
229;2003;2003m02;"Santo Antônio de Pádua;Aperibé";9999993;Interior;0
230;2003;2003m02;Miracema;3303005;Interior;0
231;2003;2003m02;Laje do Muriaé;3302304;Interior;1
232;2003;2003m02;Porciúncula;3304102;Interior;0
233;2003;2003m02;"Natividade;Varre-Sai";9999997;Interior;0
234;2003;2003m02;São Fidélis;3304805;Interior;0
235;2003;2003m02;Cambuci;3300902;Interior;0
236;2003;2003m02;"Itaperuna;São José de Ubá;Cardoso Moreira;Italva";9999986;Interior;3
237;2003;2003m02;Bom Jesus de Itabapoana;3300605;Interior;1
238;2003;2003m02;São João da Barra;3305000;Interior;3
239;2003;2003m02;"Campos dos Goytacazes;São Francisco de Itabapoana";9999987;Interior;16
240;2003;2003m02;Nova Friburgo;3303401;Interior;7
241;2003;2003m02;Duas Barras;3301603;Interior;0
242;2003;2003m02;Cantagalo;3301108;Interior;0
243;2003;2003m02;"Cordeiro;Macuco";9999998;Interior;0
244;2003;2003m02;São Sebastião do Alto;3305307;Interior;0
245;2003;2003m02;Santa Maria Madalena;3304607;Interior;0
246;2003;2003m02;Trajano de Morais;3305901;Interior;0
247;2003;2003m02;Bom Jardim;3300506;Interior;0
248;2003;2003m02;Cachoeiras de Macacu;3300803;Interior;1
249;2003;2003m02;Mangaratiba;3302601;Interior;1
250;2003;2003m02;Angra dos Reis;3300100;Interior;5
251;2003;2003m02;Paraty;3303807;Interior;0
252;2003;2003m02;Rio Claro;3304409;Interior;1
253;2003;2003m03;Rio de Janeiro;3304557;Capital;54
254;2003;2003m03;Rio de Janeiro;3304557;Capital;83
255;2003;2003m03;Rio de Janeiro;3304557;Capital;56
256;2003;2003m03;Rio de Janeiro;3304557;Capital;41
257;2003;2003m03;Rio de Janeiro;3304557;Capital;7
258;2003;2003m03;Rio de Janeiro;3304557;Capital;31
259;2003;2003m03;Rio de Janeiro;3304557;Capital;48
260;2003;2003m03;Rio de Janeiro;3304557;Capital;30
261;2003;2003m03;Rio de Janeiro;3304557;Capital;26
262;2003;2003m03;Rio de Janeiro;3304557;Capital;43
263;2003;2003m03;Rio de Janeiro;3304557;Capital;11
264;2003;2003m03;Rio de Janeiro;3304557;Capital;55
265;2003;2003m03;Rio de Janeiro;3304557;Capital;41
266;2003;2003m03;Rio de Janeiro;3304557;Capital;57
267;2003;2003m03;Rio de Janeiro;3304557;Capital;74
268;2003;2003m03;Rio de Janeiro;3304557;Capital;46
269;2003;2003m03;Rio de Janeiro;3304557;Capital;94
270;2003;2003m03;Rio de Janeiro;3304557;Capital;54
271;2003;2003m03;Rio de Janeiro;3304557;Capital;87
272;2003;2003m03;Rio de Janeiro;3304557;Capital;40
273;2003;2003m03;Rio de Janeiro;3304557;Capital;46
274;2003;2003m03;Rio de Janeiro;3304557;Capital;0
275;2003;2003m03;Rio de Janeiro;3304557;Capital;50
276;2003;2003m03;Rio de Janeiro;3304557;Capital;41
277;2003;2003m03;Rio de Janeiro;3304557;Capital;108
278;2003;2003m03;Rio de Janeiro;3304557;Capital;52
279;2003;2003m03;Rio de Janeiro;3304557;Capital;1
280;2003;2003m03;Rio de Janeiro;3304557;Capital;42
281;2003;2003m03;Rio de Janeiro;3304557;Capital;70
282;2003;2003m03;Rio de Janeiro;3304557;Capital;115
283;2003;2003m03;Rio de Janeiro;3304557;Capital;91
284;2003;2003m03;Rio de Janeiro;3304557;Capital;48
